               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.028082,            0.012601,          0.00077068,             0.79516,             0.75938,             0.81929,             0.44514,            0.031254,            0.013568,            0.003851,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028636,            0.012643,          0.00080565,             0.77764,             0.76465,             0.80922,             0.45685,            0.032086,            0.013562,           0.0032054,           0.0087328,           0.0087328,           0.0087328
                  66,            0.028801,            0.012597,          0.00077616,             0.76798,             0.72572,             0.80387,             0.44708,            0.033865,            0.013694,           0.0048017,            0.008713,            0.008713,            0.008713
                  67,            0.028419,            0.012557,           0.0012817,             0.72392,             0.70707,             0.75206,             0.39341,            0.032945,            0.015289,           0.0038077,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028533,            0.012578,           0.0011834,             0.74947,             0.76427,             0.83404,             0.46146,            0.032791,            0.013369,           0.0041842,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028562,            0.012414,          0.00056999,             0.57513,             0.55187,             0.58729,             0.27606,            0.047772,            0.017293,           0.0051374,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028199,            0.012146,          0.00062464,             0.79961,             0.71722,             0.81477,             0.44131,            0.033474,            0.014022,           0.0047629,           0.0086338,           0.0086338,           0.0086338
                  71,            0.028078,            0.012366,          0.00064879,             0.69859,             0.76346,              0.7955,             0.43173,            0.032521,            0.013958,           0.0056102,            0.008614,            0.008614,            0.008614
                  72,             0.02816,            0.012551,          0.00077448,             0.72297,             0.62731,             0.71997,             0.36407,            0.035895,            0.015875,            0.005244,           0.0085942,           0.0085942,           0.0085942
                  73,            0.027992,            0.012491,          0.00059649,             0.74999,             0.69927,             0.73957,             0.39731,            0.039483,            0.015098,           0.0041419,           0.0085744,           0.0085744,           0.0085744
                  74,            0.027569,            0.012217,          0.00089951,             0.77691,             0.80316,             0.83586,             0.47143,             0.03032,            0.013364,           0.0039296,           0.0085546,           0.0085546,           0.0085546
                  75,            0.026712,            0.012188,          0.00062353,             0.72461,             0.67515,             0.73731,             0.39002,            0.036262,            0.015593,           0.0057647,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027749,            0.012128,          0.00061745,             0.77865,             0.74576,             0.81632,             0.45233,            0.032977,            0.013279,           0.0045096,            0.008515,            0.008515,            0.008515
                  77,            0.026716,            0.011977,          0.00050458,             0.79895,             0.76349,             0.84414,             0.47674,             0.03169,            0.013458,           0.0045849,           0.0084952,           0.0084952,           0.0084952
                  78,            0.026985,            0.012197,          0.00073002,             0.76868,             0.80201,              0.8485,             0.46929,            0.031928,            0.013095,           0.0052518,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027553,            0.012144,          0.00057899,             0.79359,             0.80907,              0.8546,             0.48956,            0.030382,            0.012789,           0.0046336,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027243,            0.011941,          0.00057828,             0.83392,             0.74524,             0.83855,             0.46116,            0.032263,            0.013366,           0.0027536,           0.0084358,           0.0084358,           0.0084358
                  81,            0.026366,            0.011843,           0.0004824,             0.75899,             0.70973,             0.78277,             0.42048,             0.03606,            0.015283,           0.0035694,            0.008416,            0.008416,            0.008416
                  82,            0.027446,            0.011804,          0.00060343,             0.79328,             0.78927,             0.85444,             0.47893,            0.029642,            0.013221,           0.0035126,           0.0083962,           0.0083962,           0.0083962
                  83,            0.026562,            0.011792,          0.00057081,             0.72503,             0.76572,             0.79744,             0.44956,            0.033404,            0.014197,           0.0047986,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026899,             0.01198,          0.00054889,             0.75975,              0.7913,             0.84176,             0.47612,            0.031316,            0.013315,           0.0046761,           0.0083566,           0.0083566,           0.0083566
                  85,             0.02717,            0.011999,          0.00060204,             0.80836,             0.73992,             0.79816,             0.42511,            0.031476,            0.014693,           0.0045833,           0.0083368,           0.0083368,           0.0083368
                  86,            0.026279,            0.011705,          0.00055034,             0.82519,             0.77054,              0.8581,             0.48537,            0.030904,            0.012956,           0.0044436,            0.008317,            0.008317,            0.008317
                  87,            0.026529,            0.011747,          0.00055684,             0.78998,              0.8059,             0.84293,             0.48943,            0.030305,             0.01263,           0.0039368,           0.0082972,           0.0082972,           0.0082972
                  88,            0.026062,            0.011758,          0.00063596,             0.79821,              0.7274,             0.79723,             0.42543,            0.032961,              0.0143,           0.0055504,           0.0082774,           0.0082774,           0.0082774
                  89,            0.025588,            0.011561,          0.00045698,             0.76219,             0.82964,             0.85341,             0.47698,             0.03154,            0.012881,           0.0042009,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026504,             0.01163,          0.00051174,             0.77349,             0.75615,             0.80778,             0.45483,            0.032986,             0.01417,           0.0038494,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026242,            0.011686,          0.00051337,             0.78499,             0.77952,             0.83609,             0.47297,            0.030644,            0.013359,           0.0032565,            0.008218,            0.008218,            0.008218
                  92,            0.026298,            0.011595,          0.00056591,             0.82044,             0.78519,             0.82918,             0.46722,            0.031153,            0.013473,           0.0034488,           0.0081982,           0.0081982,           0.0081982
                  93,            0.027137,            0.011795,          0.00054463,             0.73826,             0.75168,             0.78042,             0.43941,            0.034541,            0.014334,             0.00583,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026905,            0.011742,          0.00056886,             0.79925,             0.82923,             0.86196,             0.48525,            0.030573,            0.012756,           0.0056839,           0.0081586,           0.0081586,           0.0081586
                  95,            0.027315,            0.011661,          0.00054457,             0.81108,               0.794,             0.85665,             0.48557,            0.030623,            0.013464,           0.0039738,           0.0081388,           0.0081388,           0.0081388
                  96,            0.025775,            0.011675,          0.00050295,             0.76918,             0.78142,             0.84409,             0.48395,            0.029486,            0.013169,           0.0030898,            0.008119,            0.008119,            0.008119
                  97,            0.025689,             0.01149,          0.00049571,              0.8494,             0.76523,             0.85817,             0.49637,            0.030925,            0.012895,           0.0022957,           0.0080992,           0.0080992,           0.0080992
                  98,            0.025568,            0.011456,          0.00047421,             0.81365,             0.78633,             0.85296,             0.50229,            0.031729,            0.013287,           0.0036447,           0.0080794,           0.0080794,           0.0080794
                  99,            0.026217,             0.01134,          0.00061064,             0.78246,             0.76728,             0.83083,             0.48467,            0.032288,            0.013619,           0.0030733,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026048,            0.011547,          0.00048838,             0.82465,             0.79714,             0.86165,             0.49804,            0.031043,            0.013014,           0.0047173,           0.0080398,           0.0080398,           0.0080398
                 101,             0.02525,            0.011416,          0.00090662,             0.81018,             0.78738,             0.86065,             0.48572,               0.032,            0.013026,           0.0053476,             0.00802,             0.00802,             0.00802
                 102,            0.025816,            0.011401,          0.00051676,             0.79158,             0.78645,             0.81969,             0.49503,            0.031432,            0.013394,           0.0047933,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026368,            0.011672,           0.0005582,             0.83065,             0.76507,             0.84895,             0.47436,            0.030346,            0.013382,           0.0041246,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025505,            0.011459,          0.00077602,             0.77759,             0.76219,             0.79224,             0.41366,            0.034791,             0.01455,           0.0058579,           0.0079606,           0.0079606,           0.0079606
                 105,            0.025681,            0.011528,          0.00090604,             0.76227,             0.79181,             0.84175,              0.4844,            0.032006,            0.013891,           0.0044262,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026369,            0.011541,           0.0005843,             0.79325,             0.77493,             0.83039,             0.47738,            0.031739,            0.013589,           0.0056475,            0.007921,            0.007921,            0.007921
                 107,            0.026778,            0.011644,          0.00051899,             0.79294,             0.70203,             0.78826,             0.43346,            0.035617,            0.014802,           0.0080909,           0.0079012,           0.0079012,           0.0079012
                 108,            0.025207,            0.011295,          0.00060334,             0.79638,             0.75291,             0.80274,              0.4409,            0.035087,            0.014713,           0.0061866,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026348,            0.011303,          0.00060565,             0.83615,             0.73539,             0.83595,             0.47168,            0.032705,            0.013515,            0.004149,           0.0078616,           0.0078616,           0.0078616
                 110,            0.025619,            0.011269,          0.00044531,             0.81153,             0.67923,              0.7725,             0.42315,            0.034079,            0.015348,            0.005955,           0.0078418,           0.0078418,           0.0078418
                 111,            0.025775,            0.011245,          0.00046172,             0.87039,             0.79995,             0.87622,             0.52485,            0.030046,            0.012595,            0.005071,            0.007822,            0.007822,            0.007822
                 112,            0.024381,            0.011137,          0.00065668,             0.82908,             0.78896,              0.8435,             0.49005,            0.031336,            0.013206,            0.004603,           0.0078022,           0.0078022,           0.0078022
                 113,            0.024894,             0.01119,          0.00057556,             0.83929,             0.81642,             0.87131,             0.52383,            0.030124,            0.012438,           0.0047577,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025453,            0.011052,          0.00051972,             0.80882,             0.81365,             0.87883,             0.51997,            0.030243,             0.01245,           0.0044968,           0.0077626,           0.0077626,           0.0077626
                 115,            0.025128,            0.010846,          0.00059432,             0.87012,             0.79487,             0.87976,             0.53773,            0.029732,            0.012416,           0.0052989,           0.0077428,           0.0077428,           0.0077428
                 116,            0.025603,            0.011037,          0.00067046,             0.81149,             0.81343,              0.8656,             0.51567,            0.029929,            0.012562,           0.0061467,            0.007723,            0.007723,            0.007723
                 117,            0.025493,            0.011344,           0.0012822,             0.81985,             0.75916,             0.81746,             0.45889,            0.034058,            0.014237,           0.0059149,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025577,            0.011149,          0.00053269,             0.83309,             0.81805,             0.88345,             0.51892,            0.030666,            0.012432,           0.0041617,           0.0076834,           0.0076834,           0.0076834
